county_id,county_name,year,production_t,harvested_area_ha,active_yield_t_per_ha,label_method,reconciliation_status,source_vintage,source_snapshot_id,provisional,split,usable_for_modelling
kiambu,Kiambu,2013,85482.4,30939.0,2.76293610071,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kilifi,Kilifi,2013,30506.73,31040.0,0.982819909794,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kirinyaga,Kirinyaga,2013,54849.25,18764.0,2.92306864208,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kisii,Kisii,2013,98227.17,43674.0,2.24954618308,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kisumu,Kisumu,2013,36093.85,29617.0,1.21869162981,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kitui,Kitui,2013,39262.75,39107.0,1.00398291306,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kwale,Kwale,2013,11366.1,14254.0,0.79740914831,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
laikipia,Laikipia,2013,91670.79,42064.0,2.17932531381,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
lamu,Lamu,2013,2954.93,3772.0,0.78338504772,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
machakos,Machakos,2013,92257.42,66470.0,1.38795245976,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
makueni,Makueni,2013,55488.0,50240.0,1.10445859873,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
mandera,Mandera,2013,186.75,109.0,1.71330275229,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
marsabit,Marsabit,2013,579.13,594.0,0.974966329966,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
meru,Meru,2013,262160.9,88043.0,2.97764569449,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
migori,Migori,2013,91808.19,45180.0,2.03293824679,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
mombasa,Mombasa,2013,0.0,0.0,,reported,unusable_division_by_zero,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,false
muranga,Murang'a,2013,100389.64,38515.0,2.60754770868,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nairobi,Nairobi,2013,7300.41,4908.0,1.48745110024,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nakuru,Nakuru,2013,355874.83,137602.0,2.58626349908,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nandi,Nandi,2013,242743.62,79915.0,3.03752361884,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
narok,Narok,2013,256927.76,92919.0,2.76505773824,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nyamira,Nyamira,2013,69937.6,29249.0,2.39111422527,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nyandarua,Nyandarua,2013,132985.83,53342.0,2.49308293652,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
nyeri,Nyeri,2013,108846.19,40575.0,2.68259248201,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
samburu,Samburu,2013,2316.48,1470.0,1.57583673469,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
siaya,Siaya,2013,92162.44,52639.0,1.75008567792,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
taita_taveta,Taita Taveta,2013,21392.73,14527.0,1.47261926069,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
tana_river,Tana River,2013,7418.17,4488.0,1.65288948307,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
